title_rich,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
ML_AI_data_analyst,0.17454776603138145,-0.09109942989112071,-0.0021070766504068224,-0.02708812153625541,0.3493296692189441,0.6781691039532494,-0.12292829645684929,0.2868024789952361,-0.07977404809182453,-0.37018130671468624,-0.11685324726442507,0.22976533486286904,-0.38646586013112927,0.41711680716285265,-0.014325409255122119,0.5039036290815843,-0.10022202640963326,-0.02650953364746575,0.19100397433912952,0.23140505255566168,-0.025927107765847734,-0.14728582666690995,-0.16159835154220922,-0.0027740461658650765,0.17954305696331418,-0.20307864273454762,-0.3195008662524097
ML_AI_data_engineer,0.24493771201239367,0.10239943601263604,0.013781304599958015,-0.027843484802482634,0.13181725297031183,0.2989079260920394,0.34281320972012197,0.4221709119592721,0.4098452954219918,-0.04682862494660445,-0.007799829941449454,-0.010090053240043476,-0.33327099224820744,-0.24368305262179588,-0.015089666091560993,0.2243343927275291,0.27672305539363656,0.1274352886698873,-0.16855218681345757,-0.027210987752941812,-0.0015276355588704459,0.0015249171515041016,0.031214811216073002,-0.0027690576393191394,-0.040493912952879185,-0.26518936155899114,-0.0857929302039595
ML_AI_data_scientist,0.33918046440196836,0.029394039891293827,0.013784319324814314,-0.031032842137330027,0.04671732517227223,0.10310469475328363,0.539966730368012,0.5320915646322701,0.5675641111924444,-0.026941285860127895,-0.03259917286951268,0.02432707772393369,-0.21446032832457412,-0.1568343901378468,-0.013688009471537269,0.21378970812813367,0.13104945238788934,0.0976699557305217,-0.08077350512521247,-0.11502456470545139,-0.00985912001712667,0.03978077236383515,0.1148935046635558,-0.002761231548525271,-0.008156694212978155,-0.10680858025094442,0.0547708684246806
ML_AI_scientist,0.07009812406343852,0.060305199099163986,-0.0021036256727716674,-0.029745178796192095,-0.10027557244531116,0.12962835860306468,0.29671545338200245,0.4910525260762166,0.6295222380218038,-0.04318439240395755,-0.017265707797363042,-0.013622769363788905,-0.38737834136973043,-0.329156339501164,-0.016065759206358957,-0.048909976168977576,0.12727270787333894,0.07078324266539265,-0.38115591057290554,-0.2235663524833163,-0.025934867896956256,-0.07201696383085786,0.0037739805013573824,-0.002770574760475351,-0.00946283374196899,-0.3918636042856853,0.00565082140985812
business_data_analyst,-0.1764477304114655,-0.07441931470889368,-0.0021071743091507387,-0.0013851250873186602,-0.06094237465102703,-0.06197465588620424,-0.11307862888967644,-0.10412746296998,-0.07429850903456882,0.06989602649938698,0.004479056123515263,0.0028365558420769092,0.15526809609246517,0.22546019354668095,0.021410081200463345,-0.09649040222872074,-0.07634016703721533,-0.024870020477300678,0.10809993493744818,0.0018653024646663185,0.0009295151861179393,-0.007757415124265921,0.024122307661624626,0.00143579301492907,0.0734071521234847,0.09699329184860705,0.014106628252784803
business_data_engineer,0.22880781895104985,0.16731378353190568,-0.0021033540335340588,0.007422105477645637,0.3411463688768583,0.22062381973732917,0.03301579966298382,-0.13812951672318496,-0.06613683903599724,-0.2675506385570051,-0.017219173446293062,-0.016755885962387577,-0.024431374995762034,0.312330652811538,0.07725819826229571,0.3187447742189675,-0.00917509923752069,0.020769235044455082,0.2838525258657131,0.3219945880496152,0.08624453636611287,-0.03572704162734984,0.08836793105607721,-0.0027726812480193936,0.08099681555976201,0.11512122015935444,-0.02838730483406171
business_data_scientist,0.17802055187751664,0.06686699010508612,-0.0021029556282175775,-0.02920838552066151,0.0687708929046909,-0.10252182450282227,0.10045061463460095,0.1619284126790813,-0.04699974180826507,0.10321678859529371,0.4206620800741212,0.08528158063697883,-0.010348113907513001,0.1939162851478095,-0.013874349552293564,-0.1535618928410808,-0.05874652742754457,-0.02728099504075627,0.18820845636192884,-0.18131414247259206,-0.01623539285578714,-0.07270815805946178,-0.08964904447158123,-0.002090416248350812,-0.029559135671220482,0.04484733864466506,0.04665139136715968
business_scientist,0.1079666463193345,-0.0913013137767041,-0.002107971258647068,-0.029619113953217695,-0.02402453645793945,-0.20042684561148733,0.13413399957989144,0.1234111969977219,0.23574328836133032,-0.17470785911692216,0.19186280711833056,0.0022455370310751205,-0.042577379485128186,0.23654408501755292,-0.015473364881520178,0.09753389194705317,-0.09872515630946246,-0.02701914323761882,0.10270634111959398,0.07232703873664603,-0.02580928873183854,-0.07054631847604799,-0.17823664614946116,-0.0027705187839082734,-0.07728528561441073,0.029277741682869896,-0.2397239319096114
general_data_data_analyst,-0.12671516656265924,-0.07923226583837542,-0.002107356095560232,0.011437588960811616,-0.04455579587155584,-0.07777850250270232,-0.12531244721255355,-0.11801324508828123,-0.08391467191265553,0.012767450097505795,-0.031843034189375355,-0.01359064924188639,0.13643556517242428,0.10408197410654474,0.004701744208138563,-0.1077190479314645,-0.06608012401639705,-0.020492447042123326,0.09373996350434532,0.0248599257180126,-0.012899853190127,0.039062405623569024,-0.00558881652006854,-0.0026894870874164425,-0.03630433446556902,0.0474651052569951,-0.05894183259253971
general_data_data_engineer,0.2326291699296854,0.24444602265477955,0.003600964223138512,0.033292496883046384,0.42156697125377135,0.25829165337500726,-0.125768384145638,-0.13002349257509416,-0.06119708708173215,-0.10809856406355978,-0.08238767474929218,-0.013406612623448333,-0.24599413605356313,-0.05440274429775949,0.0010114686993231738,0.4087489890032435,0.24234120906222945,0.02024326593740021,0.12538600360485253,0.29050697322555386,0.04924639197396315,-0.020077694624640374,0.16010233647407285,-0.002773008295541399,-0.11411727401363136,0.003695219952827733,-0.0658276060623636
