ownership_clean,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
government,-0.07959208700141229,-0.057952269415383534,-0.0021075499352685447,-0.0021414219269410215,-0.2697282920028538,-0.03268614102978282,0.2249471841027124,0.021268098228931637,0.027335911181296385,0.14556536611232163,-0.05370686567355065,-0.01900103173501132,0.22459555939486264,-0.11557773828253279,0.009520124962879253,-0.1621346880826114,-0.08764353905056722,-0.02310255768456332,-0.010653339748385338,0.012083701093900001,0.00540423373480526,0.1447379525291748,-0.020777572882555384,-0.0027653879382107645,0.055539495445493636,0.23501011972017516,0.019907917032895184
nonprofit,-0.04898450230675733,-0.044912210670581626,-0.0020747004465023716,-0.003925689448108637,-0.18946287487015706,-0.09788501000355182,-0.004446909060145665,-0.006824697636099553,-0.014306572260813138,0.0025008118924843004,-0.035425968385073545,-0.006644696508624967,0.18857442032569582,-0.06797560814181475,-0.009732319537231375,-0.09376447007618535,-0.03795564535040721,-0.009982292937294107,-0.1683967209673478,-0.1086897393767047,-0.019611588811644418,-0.050704095365653276,-0.008647779384454851,0.0015708752948000652,0.12908857899309745,0.07539079456130493,-0.0009324105832293483
private,-0.01372358211149416,-0.0032598279349673187,0.0004888989316950958,-0.0016908623099768996,0.035354024026399755,-0.0011159671518354286,-0.035999978012455136,-0.03255795868320718,-0.02194700252522129,-0.028456114176445002,-0.006223742669295429,-0.004363967265612187,-0.027975594416401073,0.011916034616740068,0.0008281714727915446,0.012346240090455513,0.00670368010640518,-0.0030572462431540416,0.03768216213261455,0.03849518340428665,-0.00028006110987461447,0.004197200859842237,0.014881146306438886,0.0008494822182965769,-0.07273886060870838,-0.02581978770003568,-0.04280111848851864
public,0.05628438663383606,0.028966085949923642,-0.00018982127381075137,0.0007325808350827842,0.021543772279941198,0.041680656130262866,0.0671692020486083,0.0645759817056667,0.04950593818472268,0.04769179668135526,0.023492660107462066,0.014017081416952574,-0.014298998522528028,0.0021544227625627244,-0.0031351508889990026,0.015467646567145193,0.008421295815517524,0.011076391733509473,-0.012854626572050165,-0.028981821544339925,0.008482053992100343,0.0003021889252104726,-0.018379925576510803,-0.002185013569882441,0.1006938394557263,0.028359843937844742,0.09037834509198461
unknown,-0.04823418647798072,-0.025721126924232077,0.00010857325100901765,0.012875306002712611,-0.052600184391554616,-0.04049443302140185,-0.06579570651368033,-0.0234617933145419,-0.03159258762084822,-0.029662176524432038,0.003402661616021374,-0.01155291415801805,-0.010011324216859574,0.011667905760472441,0.013380176857052832,-0.0025033222549610823,-0.014474827298759832,-0.004872819304493625,-0.029212641101346137,-0.040462465246141416,-0.011336724516384756,-0.01574284500862061,-0.015804006417844407,0.0016453211927965222,-0.03752225680040422,-0.07155857293957257,-0.05704271586622156
