state,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
AZ,-0.03404682764771605,-0.0038165887886131983,-0.002103741286096757,0.0007219325031482468,0.06783849888468058,0.024821059719557753,-0.06337749629831832,-0.06867851796897034,-0.03417841035051195,-0.12367575644134965,-0.0421593075629622,-0.010895481502282273,-0.09155495192905738,0.010412457924034946,0.009326471567550228,0.05232931856573872,0.02858630727111361,-0.008506662504786544,0.009994224912728722,0.07199570388683374,0.02602771445902264,0.01751926675088547,0.05317967434720455,-0.0027493301736977857,-0.058833902413887085,0.021552811807530214,-0.1403187983439052
CA,0.005411311321825485,-0.0005011491494246179,-0.0005922312674396329,-0.004674957540363959,-0.03904162806721739,0.02276460974832492,0.022260495377893236,0.03517351338673591,0.016879547710730025,-0.018703991789926655,0.015797540389667353,0.010940289193297401,0.005818595010477212,0.023168940463705545,0.0022158711290661756,-0.036547353735991744,-0.02631999687656479,0.004224234410195586,-0.019988546955697184,-0.01697537834109339,-0.0025086355886428033,-0.001892944012096609,-0.009680379097134623,-6.413849260957036e-05,0.04272487854275997,-0.04705274870774767,0.047764073512230554
CO,-0.131323362024103,-0.10735964292809229,-0.002107511211961568,0.01697803339401198,-0.031591452451543156,-0.12000941967841229,-0.1373274153195335,-0.1708817760574861,-0.0799439155544704,-0.026405876116219695,-0.07245202165996471,-0.008091542833255912,0.12293245316005408,0.01555475803458628,0.0009033520657345667,-0.13790177774539925,-0.060266577164328504,-0.027430080622231817,0.05870510912158933,0.1082714991401636,0.007494563571773201,0.035484060923644645,-0.041658262418192704,8.074755854702801e-05,-0.07395040767453909,0.03924665296040275,0.025816752937503518
DE,0.06175686586804263,-0.04118830534701996,-0.0021007030113441086,-0.02676333099053182,0.04153130173290914,-0.0684899712303095,0.023389545160903386,-0.061729767341640734,-0.07746857784740484,-0.1723337369607985,-0.08021869882307596,0.09726499677950776,-0.06618709371768472,-0.016775138848238447,-0.01539018963193666,-0.03069299377477011,0.0009897721728995001,-0.02605541810736166,0.22569421050028193,-0.05070990839212172,-0.02496900812466315,-0.000774118493953424,-0.03699097030579626,-0.0027709619619408154,-0.10700343571122517,-0.09362967304768399,0.21288706126990137
FL,-0.10209338994834144,-0.05591020286925299,-0.00210770731230163,-0.02761924509286638,0.09253723484551302,0.008927822262921464,0.04291534747506523,-0.10157600942930912,-0.018763052279333184,-0.019170254814110832,-0.07774959444603868,-0.019219671894395607,0.11655496073968075,-1.5231989697550574e-05,-0.01359170728159249,-0.10359521101155456,-0.07479972851716918,-0.002205131680516167,0.1733474398631769,0.06791095027670407,-0.004971150407097238,0.024399354337739626,0.0014265393285483319,-0.002760662219746159,-0.023136969940627083,0.19700931073289685,-0.07449869817111016
GA,0.36221401422254984,-0.11299026243962076,-0.0021079847510753237,-0.032605372048964736,0.3645771581280212,0.5120462223380448,0.002474218702116754,-0.21377297054341116,-0.09389844946255987,0.3288519427680344,-0.13818249052422335,-0.01947589434420319,0.3844875399068378,-0.3289562901828347,-0.016345266377966596,-0.23653501609030517,-0.10318867935521253,-0.027653898358090283,0.20669491321458,-0.024184913511715672,-0.025985675205491915,0.6026192454031541,-0.17093841054552947,-0.0027742289765082455,-0.5045341232894087,0.3390965914478572,-0.3022623502598228
IL,0.06832539577189323,-0.026354944482549936,0.0016959144522378554,0.027406161505566774,-0.02469177818160201,-0.015303921548164401,0.013293184459356261,0.018530016539618693,-0.0008562313005723576,0.04892955682007871,0.020599707155976088,-0.008645877881797721,0.00802282856137937,0.017461218503339038,0.006955864866455209,0.06614485263564143,0.015710728178322628,0.020583455491712838,0.0022162111410301,0.0221577585883152,0.0011213846385629035,-0.015005742722054322,-0.0049088842451031345,0.0011146417825498847,0.045370388738764866,0.028919881461355823,-0.021748034938497696
IN,-0.09269242754705487,-0.11166418042347821,-0.0021079702189475877,0.04976229124120051,-0.05295805626080874,-0.02854077172513661,-0.11798037363711833,-0.027887058467375714,-0.09325627360333463,0.034433272332772935,-0.005935849362360107,-0.019450263538340805,0.31653072535065063,0.1513775660263712,-0.012994210848850322,-0.18857915011263748,-0.10252020368563404,-0.02758471196337727,0.22152498273936438,-0.07268458348487947,-0.02583761474212085,0.09821887715952343,-0.08939448855338593,-0.001987299305727429,-0.10369359007138679,0.11931417833187064,-0.0011169110040678554
KS,-0.559142495489441,-0.11248948322008133,-0.0021078561360182773,-0.031019666640315694,-0.3857300970043287,-0.22872464436566373,-0.21732266332067177,-0.2041253325183888,0.2332808783157335,-0.06624414810497115,-0.11513298290316167,-0.019483438541032762,-0.381699288576875,-0.32512529890886066,-0.016178474818332712,-0.23563572836070962,-0.10399578156944227,-0.027182054161217283,-0.534567453073866,-0.25256356313153233,-0.025985883108576066,-0.14707686174945983,-0.1797081839931194,-0.002772493449160903,-0.21564462998011324,-0.23864366684683214,0.021234153571382308
NC,-0.18889594151661349,-0.05509360747993251,-0.0021078784819616387,-0.008490817580936675,0.061832334506987996,-0.05755103228700198,-0.07374572080080471,-0.18220412980588852,-0.09115117407329182,-0.2014224708114336,-0.003125827931691527,-0.00605404605001577,-0.0857103154675406,-0.12746325515484044,-0.015466052772180263,-0.17020976396908188,-0.07959190173289929,-0.027250158957619477,0.09018361300916122,0.04258395845976187,-0.02573870458567328,0.002036424071725218,0.01120738849979272,-0.0027707566303453333,-0.23727093021764123,0.018734439510427192,-0.04963530111216541
NJ,-0.13520107638730572,-0.06472831582488403,-0.002105056087501384,-0.016170027998473523,0.030759572933842072,-0.05849279157967413,-0.024740266836412672,0.007598331233150457,0.0395859324216056,0.12106362520398428,0.05246578772308802,-0.008069657595559361,0.05497017261900533,0.08454573847791125,-0.01163313326609838,-0.0473624788180084,-0.03268371845147679,-0.010747441098672393,0.06600004355339151,-0.08837916967009277,-0.02579587714832817,0.10617165970227302,0.05917590673121648,0.031155836898521853,0.06233513305988447,0.035112376061871786,0.10719477455781079
NY,0.08645984399852336,0.006319375701616087,-0.0005814522743525132,-0.022556215448340015,-0.03528172163229981,-0.038196890325855104,0.048975374592447746,0.05770063381663171,0.007425346702808658,0.04908043613806812,0.0616182951228357,0.024181163961631755,-0.038700578679740694,0.05186961000627416,-0.005523599563874961,-0.043901541043798314,-0.03448903256767091,-0.009216108538587599,0.06956983641987602,-0.0488932489196115,-0.0007955574336336486,0.0001553662240704745,-0.02435235928888496,-0.002624868738402311,0.0020722204120047216,-0.024644503428709164,-0.09441169978398767
OH,0.041219575633499206,0.014993235072860656,-0.0021054874254179934,-0.028083172260424255,-0.008127429609551484,-0.05251617504754441,0.0841146765767268,0.03806887251089697,0.014793644249612894,-0.09083939331102109,0.03565784461251556,-0.017961065713101992,0.00013612438203280952,-0.11676264465550887,-0.008319532650826142,-0.023895138065760324,0.021611731269402495,-0.0038382937345702653,-0.13417854336458124,-0.05960514248033977,-0.0010377284790033976,-0.021402362855872797,-0.11428354414734934,-0.0022048720442172528,-0.03531237017674538,-0.04535686557825469,0.09762470795260586
PA,-0.021476834682219836,-0.02443533075361938,0.00018085148770826147,-0.006342591953484779,-0.04660248624340174,-0.020493212079616047,-0.029466537559189182,-0.06465827015732231,-0.019979019857738284,0.04721738442694923,-0.004094919314735573,-0.013019123168747121,-0.0017704163579049803,-0.054191890005807375,-0.01391485003163771,-0.0042867392472682175,0.015249101542087376,0.007706092533013617,-0.08229241022039646,0.004429281968531651,-0.0016289449014734482,-0.02365834355114836,0.006036670639787467,-5.117855979898346e-05,-0.006069928581610151,-0.02844861763792228,0.08941191116516356
SC,-0.19649782433530283,-0.11193904647915827,-0.0021079451616943523,-0.029694902046975627,0.25834320152795104,-0.21564566760361398,-0.2235065419814046,-0.21289440235930926,-0.09364162351640526,0.02089304470916753,-0.131532917059085,-0.018865810793591876,-0.052910523786145025,0.25992973171495254,-0.015957308121961944,-0.20993981122249614,-0.1034532524057034,-0.027616460190023995,0.14796026733826162,0.0669143574898558,-0.025983063652593785,-0.1466272851983857,-0.14897145080330979,-0.0027615267220307887,-0.1591906853151518,0.24331106254231671,0.06064696622025878
