Size,core_programming__basic_prob,core_programming__intermediate_prob,core_programming__advanced_prob,data_engineering_pipelines__basic_prob,data_engineering_pipelines__intermediate_prob,data_engineering_pipelines__advanced_prob,ml_ai__basic_prob,ml_ai__intermediate_prob,ml_ai__advanced_prob,analytics_stats__basic_prob,analytics_stats__intermediate_prob,analytics_stats__advanced_prob,bi_viz__basic_prob,bi_viz__intermediate_prob,bi_viz__advanced_prob,cloud__basic_prob,cloud__intermediate_prob,cloud__advanced_prob,db_storage__basic_prob,db_storage__intermediate_prob,db_storage__advanced_prob,productivity_workflow__basic_prob,productivity_workflow__intermediate_prob,productivity_workflow__advanced_prob,soft_skills__core_prob,soft_skills__leadership_prob,domain_specific__none_prob
1 to 50 employees,-0.01851634732508123,-0.003500613405270761,-0.0021027241961001295,-0.0109252956708944,0.027614045321869896,-0.04396400511864995,-0.043100486221672285,-0.02662393917281003,0.0016202743424819505,-0.055090496899658725,-0.03434151007273843,-0.012317502991034256,-0.04724715383322714,0.019258483669428283,0.010868289305946497,0.002897635308316715,-0.021238068552850528,-0.0021498947223494123,-0.007236384261986473,0.05372475771719559,-0.0034874904491875927,-0.03083694330260278,0.019696054672187602,0.00040665844353866094,-0.10297511208302823,-0.10708392933125188,-0.008770983255790621
10000+ employees,0.058596156435066105,0.03536627136519524,-0.0013596667323961548,-0.006611876829104673,-0.028781783164705366,0.05443476970155356,0.08781691725143118,0.08049553578450058,0.061972778291537994,0.054608359224957326,0.01045180743607002,0.010898210037571701,-0.005299401636901568,-0.04673668670755082,-0.007137784266624406,0.008530406190628531,0.0074004691671526734,0.011955761101661341,-0.0492538731304526,-0.036270271521035596,0.008536070895658797,0.022782850502606422,-0.019684897156753117,-0.0019508673495644948,0.11000506240223618,0.06935402104620214,0.06603437797459671
1001 to 5000 employees,0.004684522107679445,-0.007892720047302779,0.0007008875016143953,0.007157199885423252,-0.007039016648672403,-0.031824216723608356,0.02950809898803189,0.005058250640505413,-0.007166564046154469,0.05863983283374541,-0.0023765702496131857,0.01958226886700427,0.0060664214587649035,0.0702717349612168,-0.00031848800578137756,-0.03249134408219803,-0.004768772216637213,-0.010635656163908866,0.0486271583727893,-0.04469539890211857,-0.004356679123873799,-0.00727114378265431,0.003967903785639271,-0.0014120909400607616,0.022094378972436046,0.039237905037105,0.0029507347852357757
201 to 500 employees,-0.034787267369255304,0.0051423456995989825,-0.002103438045916015,-0.015889083208600864,-0.026954023133685723,-0.006932598418187302,-0.0416826264294573,-0.06921008813274052,-0.033794316200373466,-0.02784544738461847,0.026895510425446828,-0.007643323195492631,-0.025775667070790376,0.014271620324285417,0.0013633564968610554,0.013151123165946799,0.008953741974565735,-0.002724227823879509,0.009878444536154274,0.006487572568568245,0.01605909396694971,-0.038087442991250886,-0.0035615537135785247,0.005068339274538057,0.020386444657068292,-0.018528130165838874,0.015897326430410086
5001 to 10000 employees,-0.08145783231193104,-0.03312533906949193,0.0017061701796668143,-0.0037859997854228014,-0.036279221174469634,-0.07850418403483675,-0.01498354228620491,-0.002599708429864539,-0.019272786825010074,0.030357184473500665,0.03083113495206538,-0.0003327356893936678,0.07621615807226861,-0.023652647261727222,0.010031977113445265,-0.00764169042704077,0.012207888274498743,0.001584268535281711,-0.09741096722664516,-0.018186450456808306,-0.002568984414533595,-0.046631431835580314,7.985512647967763e-05,0.003789038308123585,0.13982057490120903,0.08769351128473768,0.01951950001136754
501 to 1000 employees,-0.009704727758566234,0.01997871742095339,4.408586307357151e-05,0.018318409122460848,0.044879662184883595,0.00290546970065389,-0.01976592118505044,-0.013330485682845367,-0.027361694876636408,-0.06343582874640386,-0.01966700974696721,-0.007286586934869993,-0.046828708899514626,-0.03936527413420149,-0.005338089273378829,0.06222904777451302,0.054541510322659775,0.011966071312234795,0.01471387432170701,0.03718784346924081,0.006761971587206733,-0.03164182583583612,0.015739482649505365,-0.0008562931942102685,-0.0017149378448317876,0.013110969836476749,-0.08165761484452075
51 to 200 employees,0.018693133112970717,-0.034779914287741354,0.004002191625703894,0.005559090581053229,0.049977217990366196,0.03281019046963815,-0.040892003247315706,-0.020424557194854143,-0.024054308287770942,-0.020458232410921595,-0.0006961784745807553,-0.008894610550449399,0.06596943351883666,-0.007028858950192174,-0.008699115614809459,-0.029334078059869262,-0.021310489687866682,-0.007698226317889238,0.04522436514119821,0.026347505972382,-0.015253767697973604,0.05701056448086017,-0.0009290088788354578,-0.0023744571590810695,-0.12215437684272468,-0.012745392200225303,-0.03217846515811601
Unknown,-0.0629660497002763,-0.014192417916470731,4.21146958462207e-05,0.018076855358045874,-0.04302713944999115,-0.020907080878627943,-0.04909296730034929,-0.032928640680333965,-0.026076947254630806,-0.03164834485609569,0.0035958163374175955,-0.0074021137867217295,-0.006493513229645587,0.016833151648451616,0.014754380438806503,0.010273294494388796,-0.007653150953639137,-0.004224925215885123,0.004252193223367007,-0.004003944554874017,-0.005932607432010819,0.0069159237505401205,0.0015596531919095658,0.003475617823558651,-0.02904159549309826,-0.08569670686367803,-0.05473125660095429
