mean_residual,median_residual,count,size_weighted_mean
-744.0662468112245,-7978.19921875,392,-47.34198486447005
1060.7602645648967,-1661.234375,1695,291.83389846412916
-2162.9502766927085,-3819.3515625,96,-33.70284475937348
-314.9252232142857,-10700.578125,21,-1.0734344566628793
-2920.5443115234375,-7284.515625,96,-45.50758868791592
-6381.291015625,-7721.08203125,4,-4.143022896039604
-934.3138342030361,324.9921875,527,-79.91939468024673
-5145.980638586957,-5309.5078125,23,-19.21077011645837
-3993.0403645833335,-4089.5,3,-1.9443468744927772
-2152.765017361111,-2460.23046875,90,-31.447630508440188
-115.35639565677967,-4444.77734375,118,-2.2093904702970297
417.5031107522796,-7104.23828125,658,44.589684608829735
232.81360554245282,-2996.34765625,212,8.011115788832981
339.9457227454338,-8839.1015625,438,24.16754204877455
-2099.0703125,-4789.84375,3,-1.0221085761240059
-242.13150804493017,-8146.6015625,1647,-64.72822492290213
-12943.685724431818,-11442.1328125,33,-69.32991866681544
-2891.190185546875,-8405.43359375,48,-22.525098020816426
-2787.717128537736,-11372.109375,53,-23.9813354670508
-1261.255859375,-32877.0234375,4,-0.8188643787534491
